"","ans_id","V000","V001","V002_1","V002_2","V002_3","V002_4","V002_o","V002_o1","V003_1","V004_1","V006_1","V006_2","V006_3","V006_4","V006_5","V006_o","V006_o1","V007","V008","V009","V010","V010_o","V011_1","V012_1","V013_1","V015","Leeftijd","Leeftijd_cat","Geslacht","Postcode"
"216",26184,1,5,0,0,0,1,0,"",2,1,1,1,0,0,1,0,"",1,3,3,1,"",NA,NA,NA,"Geen",59,3,1,6666
"217",25078,1,1,0,0,0,1,0,"",2,2,1,1,0,1,0,0,"",1,4,1,1,"",NA,NA,NA,"Ik wil zeker weten of ze werkelijk uit het land komen, waarvan ik naar aanleiding van het etiket denk, dat ze komen en of bekend is van welke boer of co<f6>peratie van boeren de bananen komen. En of ze een fatsoenlijke prijs hebben gekregen.",73,3,2,2903
"218",21004,1,1,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,3,5,1,"",NA,NA,NA,"geen",52,3,1,6085
"219",29505,1,4,0,0,0,1,0,"",3,2,1,0,0,0,0,0,"",1,4,4,1,"",NA,NA,NA,"Geen. Mij boeit alleen de prijs die ik als consument moet betalen.",56,3,1,5628
"220",27706,1,4,0,0,0,1,0,"",1,2,1,0,0,0,0,0,"",2,2,3,1,"",NA,NA,NA,"of het eerlijke  fairtrade bananen  zijn",61,3,1,5042
"221",27989,1,4,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,3,3,1,"",NA,NA,NA,"geen",68,3,1,9724
"222",28273,1,3,1,1,0,1,0,"",2,2,1,1,1,1,1,0,"",1,4,2,2,"2",2,1,1,"Waar ze vandaan komen en onder welke omstandigheden ze zijn geteeld.",71,3,1,4564
"223",23528,1,4,1,0,0,0,0,"",1,2,1,1,0,0,1,0,"",1,1,2,1,"",NA,NA,NA,"Waar ze inderdaad vandaan komen, en hoelang ze onderweg zijn, en of het allemaal eerlijk is gegaan",67,3,1,5629
"224",20109,1,1,0,0,1,0,0,"",NA,NA,1,0,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"Ik wist dit niet,ga het zeker doen.",71,3,2,8121
"225",22632,1,2,0,0,0,1,0,"",2,2,1,0,0,1,0,0,"",1,1,3,1,"",NA,NA,NA,"Hoe het verwerkt is.",53,3,2,4708
"226",25569,1,1,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"Hoe de bananen tot hier geraken en info over de omstandigheden van de teler.",61,3,1,6214
"227",28804,1,3,0,0,0,1,0,"",2,2,1,1,0,1,0,0,"",1,1,3,2,"2",2,2,2,"Geen andere bananen verkopen ze niet",51,3,2,7651
"228",22150,1,2,0,1,0,0,0,"",3,1,1,1,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"hoe deze er uitzien",82,3,1,3195
"229",25190,1,4,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",1,3,3,1,"",NA,NA,NA,"Geen",55,3,1,3449
"230",29646,1,4,0,1,0,0,0,"",2,2,1,0,0,0,0,0,"",2,4,2,1,"",NA,NA,NA,"waar ze vandaan komen",60,3,2,8081
"231",20271,1,6,0,0,0,1,0,"",3,2,1,0,0,0,0,0,"",2,1,3,1,"",NA,NA,NA,"geen",73,3,1,6961
"232",17520,1,1,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"Waar ze vandaan komen en of ze gezonder zijn dan andere merken",38,2,2,6162
"233",23454,1,2,1,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,2,3,1,"",NA,NA,NA,"houdbaarheid",69,3,1,1318
"234",28396,1,1,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,3,3,1,"",NA,NA,NA,"Geen.",50,3,1,6374
"235",20814,1,1,1,0,0,1,0,"",2,2,1,1,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"Niet opzoeken heeft Fairtrade al gedaan",76,3,2,3181
"236",20005,1,1,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"waar ze vandaan komen",74,3,1,6374
"237",26887,1,2,1,0,0,0,0,"",2,1,1,1,0,0,0,0,"",1,1,2,1,"",NA,NA,NA,"Geen, vertrouw supermarkt",86,3,1,5282
