"","ISIN","Country","year","str","PTI","SI","TXT","CTP","cetr_5","diff_c","cetr_5_s","etr_5","diff_e","etr_5_s","ASSETS","LTD","RD","PTI_FOREIGN","ROA","FTSE_ESG_a","ESG","Sector","CAPEX","mean_ROA","n","median_ROA","ctrygrp","PERF","cetr","LEV","RDS","SIZE","FOREIGN","FOR","BTD","sdg01","sdg02","sdg03","sdg04","sdg05","sdg06","sdg07","sdg08","sdg09","sdg10","sdg11","sdg12","sdg13","sdg14","sdg15","sdg16","sdg17","sdg","gc","gri","int","report","sdg_total","s_themes","SDG","GC","GRI","INT"
"15","CH0012280076","CH",2016,0.21148581,227.1981176,0,-7.486043379,29.61935536,0.137901035,-18.42982257,-0.073584775,0.117315467,-55.53522131,-0.094170343,1114.79508,31.52816638,NA,NA,20.192718,NA,NA,"DRUGS, COSMETICS & HEALTH CARE","#Calc",3.27765873091667,36,6.112859282,"EUR",16.9150592690833,0.130367961112016,0.0282815801268158,NA,7.01642588225037,0,0,-0.0261383137613855,1,0,3,0,0,0,1,0,0,2,0,0,1,0,0,7,3,0,1,13,0,"report",6,7,"noSDG","GC-member","GRI","no report<IR>"
"16","CH0012280076","CH",2020,0.21148581,123.0484699,0,23.05420875,61.22432461,0.157687497,35.20131928,-0.053881313,0.142498282,-2.968796571,-0.069070528,2962.593937,60.73169618,NA,NA,4.546744724,NA,NA,"DRUGS, COSMETICS & HEALTH CARE","#Calc",5.04721129911111,36,6.2003189055,"EUR",-0.500466575111111,0.497562665019372,0.0204995005969325,NA,7.99382049363266,0,0,-0.0205779448190167,0,0,2,0,0,0,1,1,0,1,0,0,4,0,4,4,6,0,1,70,0,"report",21,8,"noSDG","GC-member","GRI","no report<IR>"
"17","CH0012549785","CH",2016,0.21148581,422.7240621,0,61.92234346,36.81034376,0.112884483,-52.58979692,-0.098601327,0.090404083,-27.47779722,-0.121081727,3931.944706,37.00960723,138.8592325,NA,12.48553413,3.5,84,"DRUGS, COSMETICS & HEALTH CARE","#Calc",3.27765873091667,36,6.112859282,"EUR",9.20787539908333,0.0870788939175459,0.00941254519004927,0.0353156625748338,8.2768894186046,0,0,-0.00913449833065962,0,0,0,0,0,0,4,1,0,4,0,0,3,0,0,1,5,0,2,10,0,"report",15,6,"noSDG","GC-member","GRI","no report<IR>"
"18","CH0012549785","CH",2020,0.21148581,648.2269079,0,16.35459701,82.63945376,0.224614115,-54.45133893,0.01306596,0.15771372,-120.7361957,-0.053834435,6296.127303,66.73216885,221.8159912,NA,11.49623995,3.7,84,"DRUGS, COSMETICS & HEALTH CARE","#Calc",5.04721129911111,36,6.2003189055,"EUR",6.44902865088889,0.127485380123635,0.0105989230583383,0.0352305441940966,8.7476900095561,0,0,-0.0129077037235995,1,0,5,5,3,0,17,6,4,7,0,0,13,0,5,16,34,67,5,102,0,"report",595,12,"SDG","GC-member","GRI","no report<IR>"
"19","CH0014852781","CH",2016,0.21148581,1224.158416,0,293.3513948,216.2070833,0.168001531,-42.68505074,-0.043484279,0.226416429,34.45926069,0.014930619,196960.6891,44.73163945,NA,NA,0.619009123,2.4,42,"FINANCIAL","#Calc",2.08509234842,51,0.847694817,"EUR",-1.46608322542,0.176616915322502,0.000227109478822391,NA,12.1907594400921,0,0,-0.00108457257605238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no report",0,0,"noSDG","no GC-member","no GRI","no report<IR>"
"20","CH0014852781","CH",2020,0.21148581,1429.767926,0,319.6202517,314.2932475,0.242161389,11.91761957,0.030703543,0.214605668,17.24462377,0.003147822,268999.3686,76.7811287,NA,NA,0.575851978,4.1,78,"FINANCIAL","#Calc",2.56631717723529,51,0.887665161,"EUR",-1.99046519923529,0.219821162431084,0.000285432375174727,NA,12.5024643113693,0,0,-0.00115713837114404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no report",0,0,"noSDG","no GC-member","no GRI","no report<IR>"
"21","CH0025751329","CH",2016,0.21148581,214.9890006,0,9.113000027,11.32300003,NA,-34.14412291,NA,0.055623592,-36.35412291,-0.155862218,1498.67702,0,130.5250004,53.44500016,15.33994646,NA,NA,"ELECTRONICS","#Calc",7.28321580276316,38,8.019655121,"EUR",8.05673065723684,0.0526678109038105,0,0.0870934822234079,7.31233801124454,1,0.248594114167904,-0.00725194865580189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no report",0,0,"noSDG","no GC-member","no GRI","no report<IR>"
"22","CH0025751329","CH",2020,0.21148581,1148.11998,0,200.8629965,23.0409996,0.081970921,-219.7700844,-0.129591496,0.148716874,-41.94808745,-0.062845544,4142.378148,1.5218042,226.0229961,NA,34.27583966,3,47,"ELECTRONICS","#Calc",11.2202530311842,38,10.49711165,"EUR",23.0555866288158,0.0200684597440766,0.000367374523915628,0.0545635835321136,8.32902533378058,0,0,-0.00497610020719073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no report",0,0,"noSDG","no GC-member","no GRI","no report<IR>"
"23","CH0030170408","CH",2016,0.21148581,640.2977849,0,83.84368584,100.0845935,0.149845389,-35.32930216,-0.061640421,0.135931708,-51.57020983,-0.075554102,3543.16912,59.375,0,NA,17.63267132,3.5,97,"CONSTRUCTION","#Calc",10.0916379183846,13,8.934931966,"EUR",7.54103340161539,0.156309448291518,0.0167575969390928,0,8.17277683728539,0,0,-0.0278650132690229,0,0,2,1,0,34,22,6,1,5,1,0,8,0,7,2,22,11,3,45,0,"report",253,12,"SDG","GC-member","GRI","no report<IR>"
"24","CH0030170408","CH",2020,0.21148581,803.6318527,0,119.324894,100.1476789,NA,-69.80905447,NA,0.194877588,-50.63183937,-0.016691642,4243.452538,40.52029136,0,NA,20.17843051,3.6,87,"CONSTRUCTION","#Calc",10.0895793633077,13,10.53648516,"EUR",10.0888511466923,0.124618851982446,0.00954889703540735,0,8.35313249471186,0,0,-0.0232000029893817,0,0,1,1,0,35,23,11,0,5,3,0,22,0,4,2,17,11,5,255,0,"report",153,11,"SDG","GC-member","GRI","no report<IR>"
