"","ISIN","Country","year","str"
"116","CH0012549785","CH",2013,0.21148581
"117","CH0012549785","CH",2012,0.21174438
"118","CH0012280076","CH",2020,0.21148581
"119","CH0012280076","CH",2019,0.21148581
"120","CH0012280076","CH",2018,0.21148581
"121","CH0012280076","CH",2017,0.21148581
"122","CH0012280076","CH",2016,0.21148581
"123","CH0012280076","CH",2015,0.21148581
"124","CH0012280076","CH",2014,0.21148581
"125","CH0012280076","CH",2013,0.21148581
"126","CH0012280076","CH",2012,0.21174438
"127","CH0014852781","CH",2020,0.21148581
"128","CH0014852781","CH",2019,0.21148581
"129","CH0014852781","CH",2018,0.21148581
"130","CH0014852781","CH",2017,0.21148581
"131","CH0014852781","CH",2016,0.21148581
"132","CH0014852781","CH",2015,0.21148581
"133","CH0014852781","CH",2014,0.21148581
"134","CH0014852781","CH",2013,0.21148581
"135","CH0014852781","CH",2012,0.21174438
"136","CH0008742519","CH",2020,0.21148581
"137","CH0008742519","CH",2019,0.21148581
"138","CH0008742519","CH",2018,0.21148581
"139","CH0008742519","CH",2017,0.21148581
"140","CH0008742519","CH",2016,0.21148581
"141","CH0008742519","CH",2015,0.21148581
"142","CH0008742519","CH",2014,0.21148581
"143","CH0008742519","CH",2013,0.21148581
"144","CH0008742519","CH",2012,0.21174438
"145","DE000A1EWWW0","DE",2020,0.29897059
"146","DE000A1EWWW0","DE",2019,0.29897059
"147","DE000A1EWWW0","DE",2018,0.29825
"148","DE000A1EWWW0","DE",2017,0.30175
"149","DE000A1EWWW0","DE",2016,0.30175
"150","DE000A1EWWW0","DE",2015,0.30175
"151","DE000A1EWWW0","DE",2014,0.30175
"152","DE000A1EWWW0","DE",2013,0.30175
"153","DE000A1EWWW0","DE",2012,0.30175
"154","DE0008404005","DE",2020,0.29897059
"155","DE0008404005","DE",2019,0.29897059
"156","DE0008404005","DE",2018,0.29825
"157","DE0008404005","DE",2017,0.30175
"158","DE0008404005","DE",2016,0.30175
"159","DE0008404005","DE",2015,0.30175
"160","DE0008404005","DE",2014,0.30175
"161","DE0008404005","DE",2013,0.30175
"162","DE0008404005","DE",2012,0.30175
"163","DE000BAY0017","DE",2020,0.29897059
"164","DE000BAY0017","DE",2019,0.29897059
"165","DE000BAY0017","DE",2018,0.29825
"166","DE000BAY0017","DE",2017,0.30175
"167","DE000BAY0017","DE",2016,0.30175
"168","DE000BAY0017","DE",2015,0.30175
"169","DE000BAY0017","DE",2014,0.30175
"170","DE000BAY0017","DE",2013,0.30175
"171","DE000BAY0017","DE",2012,0.30175
"172","DE0005190003","DE",2020,0.29897059
"173","DE0005190003","DE",2019,0.29897059
"174","DE0005190003","DE",2018,0.29825
"175","DE0005190003","DE",2017,0.30175
"176","DE0005190003","DE",2016,0.30175
"177","DE0005190003","DE",2015,0.30175
"178","DE0005190003","DE",2014,0.30175
"179","DE0005190003","DE",2013,0.30175
"180","DE0005190003","DE",2012,0.30175
"181","DE0005439004","DE",2020,0.29897059
"182","DE0005439004","DE",2019,0.29897059
"183","DE0005439004","DE",2018,0.29825
"184","DE0005439004","DE",2017,0.30175
"185","DE0005439004","DE",2016,0.30175
"186","DE0005439004","DE",2015,0.30175
"187","DE0005439004","DE",2014,0.30175
"188","DE0005439004","DE",2013,0.30175
"189","DE0005439004","DE",2012,0.30175
"190","DE0007100000","DE",2020,0.29897059
"191","DE0007100000","DE",2019,0.29897059
"192","DE0007100000","DE",2018,0.29825
"193","DE0007100000","DE",2017,0.30175
"194","DE0007100000","DE",2016,0.30175
"195","DE0007100000","DE",2015,0.30175
"196","DE0007100000","DE",2014,0.30175
"197","DE0007100000","DE",2013,0.30175
"198","DE0007100000","DE",2012,0.30175
"199","DE0005810055","DE",2020,0.29897059
"200","DE0005810055","DE",2019,0.29897059
"201","DE0005810055","DE",2018,0.29825
"202","DE0005810055","DE",2017,0.30175
"203","DE0005810055","DE",2016,0.30175
"204","DE0005810055","DE",2015,0.30175
"205","DE0005810055","DE",2014,0.30175
"206","DE0005810055","DE",2013,0.30175
"207","DE0005810055","DE",2012,0.30175
"208","DE0005552004","DE",2020,0.29897059
"209","DE0005552004","DE",2019,0.29897059
"210","DE0005552004","DE",2018,0.29825
"211","DE0005552004","DE",2017,0.30175
"212","DE0005552004","DE",2016,0.30175
"213","DE0005552004","DE",2015,0.30175
"214","DE0005552004","DE",2014,0.30175
"215","DE0005552004","DE",2013,0.30175
"216","DE0005552004","DE",2012,0.30175
"217","DE0005557508","DE",2020,0.29897059
"218","DE0005557508","DE",2019,0.29897059
"219","DE0005557508","DE",2018,0.29825
"220","DE0005557508","DE",2017,0.30175
"221","DE0005557508","DE",2016,0.30175
"222","DE0005557508","DE",2015,0.30175
"223","DE0005557508","DE",2014,0.30175
"224","DE0005557508","DE",2013,0.30175
"225","DE0005557508","DE",2012,0.30175
"226","DE0005785604","DE",2020,0.29897059
"227","DE0005785604","DE",2019,0.29897059
"228","DE0005785604","DE",2018,0.29825
"229","DE0005785604","DE",2017,0.30175
"230","DE0005785604","DE",2016,0.30175
"231","DE0005785604","DE",2015,0.30175
"232","DE0005785604","DE",2014,0.30175
"233","DE0005785604","DE",2013,0.30175
"234","DE0005785604","DE",2012,0.30175
"235","DE0006047004","DE",2020,0.29897059
"236","DE0006047004","DE",2019,0.29897059
"237","DE0006047004","DE",2018,0.29825
"238","DE0006047004","DE",2017,0.30175
"239","DE0006047004","DE",2016,0.30175
"240","DE0006047004","DE",2015,0.30175
"241","DE0006047004","DE",2014,0.30175
"242","DE0006047004","DE",2013,0.30175
"243","DE0006047004","DE",2012,0.30175
"244","DE0006048432","DE",2020,0.29897059
"245","DE0006048432","DE",2019,0.29897059
"246","DE0006048432","DE",2018,0.29825
"247","DE0006048432","DE",2017,0.30175
"248","DE0006048432","DE",2016,0.30175
"249","DE0006048432","DE",2015,0.30175
"250","DE0006048432","DE",2014,0.30175
"251","DE0006048432","DE",2013,0.30175
"252","DE0006048432","DE",2012,0.30175
"253","DE0006231004","DE",2020,0.29897059
"254","DE0006231004","DE",2019,0.29897059
"255","DE0006231004","DE",2018,0.29825
"256","DE0006231004","DE",2017,0.30175
"257","DE0006231004","DE",2016,0.30175
"258","DE0006231004","DE",2015,0.30175
"259","DE0006231004","DE",2014,0.30175
"260","DE0006231004","DE",2013,0.30175
"261","DE0006231004","DE",2012,0.30175
"262","DE0006599905","DE",2020,0.29897059
"263","DE0006599905","DE",2019,0.29897059
"264","DE0006599905","DE",2018,0.29825
