Column1;ISIN;Company_Name;Country;Component;FF Mcap (BEUR);Factset_sector;Sector;TR_16;TR_17;TR_18;TR_19;TR_20;ctp_16;ctp_17;ctp_18;ctp_19;ctp_20;ptx_inc_16;ptx_inc_17;ptx_inc_18;ptx_inc_19;ptx_inc_20;SUS_ENV;SUS_SOC;SUS_GOV;SUS_CARBON;FTSE_ESG;FTSE_ESG_DATE
611;US1431301027;CarMax Inc.;US;Large;183;Retail Trade;Consumer Discretionary;38.27103285;37.70201857;37.5604546;24.29830536;23.47599368;319.978;371.227;353.977;220.669;286.008;1009.944;1006.405;1063.608;1112.806;1160.986;#N/B;#N/B;#N/B;#N/B;2.6;06/21/2021
612;RU0007288411;MMC NORILSK NICKEL;RU;Large;183;Non-Energy Minerals;#N/B;22.98202926;24.89548014;21.96623073;20.6531508;20.63769382;34821;39042;49937;122597;94350.73598;217409;169585;240633;488463;331312.8988;36.91193072;8.626358;8.237981;9900000;#N/B;06/21/2021
613;FI0009000681;NOKIA;FI;Large;183;Electronic Technology;#N/B;#N/B;#N/B;#N/B;95.83333333;451.5950069;503;555;364;516;280;-1387;-521;-372;144;721;#N/B;#N/B;#N/B;#N/B;4.5;06/21/2021
614;FR0000051807;TELEPERFORMANCE;FR;Large;183;Commercial Services;#N/B;27.66666667;-2.950819672;28.04597701;24.67043315;30.62098501;83;147;170;155;179;300;305;435;531;467;#N/B;#N/B;#N/B;#N/B;2.8;06/21/2021
615;JP3116000005;ASAHI GROUP HDGS;JP;Large;182;Consumer Non-Durables;#N/B;41.94898313;29.51254924;27.19142532;28.42074867;26.16847024;52153;78205;103053;53666;55256;150068;196984;207308;197391;125399;#N/B;#N/B;#N/B;#N/B;3.8;06/21/2021
616;US1156372096;Brown-Forman Corp. Cl B;US;Large;182;Consumer Non-Durables;Consumer Staples;28.34116857;28.29581994;26.61207779;19.86564299;18.03766105;430;266;200;201;143;1489;933;977;1042;1009;22.35722658;9.900963;5.641088;179653;2.7;06/21/2021
617;NL0013267909;AKZO NOBEL;NL;Large;182;Process Industries;#N/B;28.125;33.86880857;21.33815552;30.06535948;26.95749441;285;338;164;184;165;832;747;553;765;894;17.67080719;4.359502;5.693494;240000;4.2;06/21/2021
618;TW0002308004;Delta Electronics Inc;TW;Large;181;Electronic Technology;#N/B;23.17358557;21.8395673;18.99820095;18.01515635;20.06980715;3231.112;4206.676;4732.398;4175.022;3752.891;23863.286;23083.461;21857.038;29012.532;34334.879;#N/B;#N/B;#N/B;#N/B;3.6;06/21/2021
619;JP3726800000;Japan Tobacco Inc.;JP;Large;181;Consumer Non-Durables;#N/B;26.66629354;26.32768341;27.10419465;22.27039413;25.71852317;185285;112591;124366;147105;124511;571748;538532;531486;465232;420063;#N/B;#N/B;#N/B;#N/B;3.5;06/21/2021
620;US4601461035;International Paper Co.;US;Large;181;Process Industries;Materials;24.27672956;-127.9481132;24.98596294;39.52618454;37.69230769;90;7;388;349;162;795;848;1781;1604;650;24.79611283;4.785681;5.193413;12500000;3.4;06/21/2021
