"","company","year","sdg01","sdg02","sdg03","sdg04","sdg05","sdg06","sdg07","sdg08","sdg09","sdg10","sdg11","sdg12","sdg13","sdg14","sdg15","sdg16","sgd17","sdg","doc_id","country","ctrygrp"
"517","US75886F1075",2020,0,0,0,0,0,0,3,1,0,0,0,0,11,0,0,0,0,0,"US75886F1075_2020_SR_2.pdf","US","USA"
"518","US78409V1044",2016,5,4,8,0,0,3,9,11,0,4,2,0,9,0,0,7,6,3,"US78409V1044_2016_SR_0.pdf","US","USA"
"519","US78409V1044",2020,0,0,0,0,0,0,5,0,0,0,0,0,29,0,1,3,1,0,"US78409V1044_2020_CR_0.pdf","US","USA"
"520","US78409V1044",2020,0,0,9,1,1,1,5,0,0,2,0,0,33,0,23,13,3,3,"US78409V1044_2020_SR_0.pdf","US","USA"
"521","US8326964058",2016,1,9,15,3,0,0,5,0,0,1,0,1,11,0,2,1,0,0,"US8326964058_2016_SR_0.pdf","US","USA"
"522","US8326964058",2020,0,5,2,1,0,0,4,0,0,1,0,0,10,0,1,24,1,0,"US8326964058_2020_SR_0.pdf","US","USA"
"523","US8666741041",2020,0,1,2,0,0,1,4,0,0,0,0,0,1,0,0,7,2,0,"US8666741041_2020_SR_0.pdf","US","USA"
"524","US8666741041",2020,1,2,0,0,0,2,4,1,0,2,0,0,2,0,1,5,2,0,"US8666741041_2020_SR_2.pdf","US","USA"
"525","US87165B1035",2020,5,11,11,0,0,2,1,0,0,0,0,0,2,0,0,15,0,1,"US87165B1035_2020_SR_0.pdf","US","USA"
"526","US8725901040",2020,0,0,8,0,0,0,22,0,0,4,0,0,38,0,0,5,1,0,"US8725901040_2020_SR_0.pdf","US","USA"
"527","US88579Y1010",2016,1,0,2,1,0,6,42,2,0,5,0,0,22,0,4,11,11,67,"US88579Y1010_2016_SR_0.pdf","US","USA"
"528","US88579Y1010",2020,2,5,9,1,0,5,32,2,0,9,0,0,28,0,3,72,15,101,"US88579Y1010_2020_SR_0.pdf","US","USA"
"529","US8936411003",2020,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,"US8936411003_2020_SR_0.pdf","US","USA"
"530","US89400J1079",2016,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,"US89400J1079_2016_SR_0.pdf","US","USA"
"531","US89400J1079",2020,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,"US89400J1079_2020_HR_0.pdf","US","USA"
"532","US89400J1079",2020,0,0,2,0,1,0,0,2,0,1,0,1,9,0,0,8,3,5,"US89400J1079_2020_SR_0.pdf","US","USA"
"533","US9078181081",2016,0,0,4,0,0,3,3,8,0,0,0,0,5,0,4,1,0,0,"US9078181081_2016_SR_0.pdf","US","USA"
"534","US9078181081",2020,0,0,5,1,2,4,0,9,0,5,1,1,13,0,12,3,8,5,"US9078181081_2020_SR_0.pdf","US","USA"
"535","US92276F1003",2020,0,0,7,0,2,0,8,0,0,3,1,0,5,0,0,9,2,1,"US92276F1003_2020_SR_0.pdf","US","USA"
"536","US92343V1044",2016,1,4,2,2,1,1,1,4,2,0,0,1,4,0,2,3,8,2,"US92343V1044_2016_SR_0.pdf","US","USA"
"537","US92343V1044",2020,0,0,4,2,0,1,68,6,0,2,0,1,25,0,6,43,9,19,"US92343V1044_2020_SR_1.pdf","US","USA"
"538","US92556V1061",2020,1,0,18,0,8,7,8,2,0,3,1,1,32,0,3,5,1,19,"US92556V1061_2020_SR_0.pdf","US","USA"
"539","US9291601097",2016,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,"US9291601097_2016_SR_0.pdf","US","USA"
"540","US9291601097",2020,1,2,3,1,0,1,5,0,0,2,0,0,4,0,18,6,0,0,"US9291601097_2020_SR_0.pdf","US","USA"
"541","US98956P1021",2016,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,"US98956P1021_2016_SR_0.pdf","US","USA"
"542","US98956P1021",2020,2,0,3,0,0,0,1,0,0,1,0,0,2,0,0,8,0,0,"US98956P1021_2020_SR_0.pdf","US","USA"
"543","US98978V1035",2016,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,"US98978V1035_2016_SR_0.pdf","US","USA"
"544","US98978V1035",2020,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,"US98978V1035_2020_ER_0.pdf","US","USA"
"545","US98978V1035",2020,0,4,7,0,1,1,12,0,0,0,0,1,3,0,0,2,2,2,"US98978V1035_2020_SR_0.pdf","US","USA"
