ISIN	Country	m0	m1	m2	m3	m4	m5	m6	m7	m8
US3724601055	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US3802371076	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US4165151048	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US4180561072	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US42809H1077	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US4364401012	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
IE00BQPVQZ61	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US4404521001	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US40434L1052	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US4461501045	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US45167R1041	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US45168D1046	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US45784P1012	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US8326964058	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US49271V1008	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US4932671088	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US4943681035	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US5010441013	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US5128071082	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US5132721045	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US5260571048	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US5303073051	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US5018892084	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US5502411037	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
NL0009434992	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US55261F1049	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US5732841060	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US5745991068	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US57772K1016	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US58155Q1031	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US5926881054	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US6092071058	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US6200763075	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
